ShipmentID	CustomerID	ShipmentDate	ShipmentMethod	ShipmentCost	DestinationAddress
1	1	01-06-2024	Express	20	2100 Block of 27TH AV
2	2	02-06-2024	Standard	15	300 Block of ELLIS ST
3	3	03-06-2024	Express	25	1000 Block of MISSION ST
4	4	04-06-2024	Standard	18	800 Block of BRYANT ST
5	5	05-06-2024	Express	30	0 Block of DRUMM ST
6	6	06-06-2024	Standard	22	3RD ST / FOLSOM ST
7	7	07-06-2024	Express	35	GOLDEN GATE AV / PARKER AV
8	8	08-06-2024	Standard	25	1400 Block of DEHARO ST
9	9	09-06-2024	Express	40	FOLSOM ST / 3RD ST
10	10	10-06-2024	Standard	30	0 Block of THRIFT ST
11	11	11-06-2024	Express	45	100 Block of GOLDEN GATE AV
12	12	12-06-2024	Standard	28	2400 Block of DIAMOND ST
13	13	13-06-2024	Express	50	FOLSOM ST / CESAR CHAVEZ ST
14	14	14-06-2024	Standard	32	100 Block of LELAND AV
15	15	15-06-2024	Express	55	600 Block of CLEMENT ST
16	16	16-06-2024	Standard	35	400 Block of LEAVENWORTH ST
17	17	17-06-2024	Express	60	4400 Block of ANZA ST
18	18	18-06-2024	Standard	38	GEARY ST / TAYLOR ST
19	19	19-06-2024	Express	65	1500 Block of NEWCOMB AV
20	20	20-06-2024	Standard	40	ELLIS ST / JONES ST
21	21	21-06-2024	Express	70	1700 Block of LYON ST
22	22	22-06-2024	Standard	42	3100 Block of 20TH AV
23	23	23-06-2024	Express	75	1300 Block of COLUMBUS AV
24	24	24-06-2024	Standard	45	LARKIN ST / POST ST
25	25	25-06-2024	Express	80	800 Block of AMAZON AV
26	26	26-06-2024	Standard	48	400 Block of 39TH AV
27	27	27-06-2024	Express	85	300 Block of POWELL ST
28	28	28-06-2024	Standard	50	HARRIET ST / HOWARD ST
29	29	29-06-2024	Express	90	1500 Block of TURK ST
30	30	30-06-2024	Standard	55	200 Block of SILVER AV
31	31	01-07-2024	Express	95	2100 Block of LOMBARD ST
32	32	02-07-2024	Standard	60	GOLDEN GATE AV / VANNESS AV
33	33	03-07-2024	Express	100	800 Block of BRYANT ST
34	34	04-07-2024	Standard	65	300 Block of HOLLADAY AV
35	35	05-07-2024	Express	105	DORLAND ST / GUERRERO ST
36	36	06-07-2024	Standard	70	23RD ST / DOUGLASS ST
37	37	07-07-2024	Express	110	5000 Block of 3RD ST
38	38	08-07-2024	Standard	75	0 Block of SADOWA ST
39	39	09-07-2024	Express	115	500 Block of GEARY ST
40	40	10-07-2024	Standard	80	0 Block of OFARRELL ST
41	41	11-07-2024	Express	120	2700 Block of FILBERT ST
42	42	12-07-2024	Standard	85	700 Block of VALLEJO ST
43	43	13-07-2024	Express	125	300 Block of FILLMORE ST
44	44	14-07-2024	Standard	90	0 Block of MYRTLE ST
45	45	15-07-2024	Express	130	300 Block of HOLLADAY AV
46	46	16-07-2024	Standard	95	23RD ST / DOUGLASS ST
47	47	17-07-2024	Express	135	1700 Block of LYON ST
48	48	18-07-2024	Standard	100	1300 Block of COLUMBUS AV
49	49	19-07-2024	Express	140	LARKIN ST / POST ST
50	50	20-07-2024	Standard	105	800 Block of AMAZON AV
